Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
General government net debt,,,,,,,,,,,,77.834,62.926,74.028,98.376,116.195,98.148,69.855,72.863,82.019,62.813,48.376,45.159,31.325,23.457,1.92,-10.838,-20.88,-35.486,-39.644,-33.703,-31.084,-29.028,-29.511,-21.788,-7.617,13.327,21.598,25.447,30.526,53.525,64.034,71.936,79.998,87.11,92.657,Africa
General government gross debt,,,,,,,,,,,,671.029,676.259,880.727,1463.245,2329.7,2522.4,1942.11,2062.386,2664.142,2590.105,2293.935,2317.967,2213.749,2164.07,1987.924,2009.616,1262.621,890.317,973.908,1258.276,1350.538,1512.626,1265.38,1321.998,1461.899,3582.079,5063.62,7733.646,9349.221,10453.166,13347.004,16110.31,19135.619,22303.75,25508.631,Africa
General government gross debt,,,,,,,,,,,,77.834,62.926,74.028,98.376,116.195,98.148,69.855,72.863,82.019,62.813,54.267,51.251,42.148,35.193,26.288,23.638,13.5,8.062,9.77,10.493,9.257,9.332,7.601,7.673,8.747,20.452,27.259,38.174,46.278,57.218,66.573,74.675,83.215,90.795,96.746,Africa
Current account balance,0.242,-0.209,-0.436,-0.085,0.074,1.015,-2.23,0.141,-1.9,-1.033,1.35,2.39,1.29,0.81,-1.839,-2.237,1.248,3.45,-0.91,0.02,9.142,7.06,4.359,8.808,11.116,21.183,28.95,30.6,34.449,0.411,12.157,19.802,12.29,0.835,-9.436,-27.29,-26.473,-22.074,-16.706,-17.112,-15.917,-25.803,-22.604,-22.337,-21.459,-21.281,Africa
Current account balance,0.571,-0.472,-0.973,-0.179,0.144,1.66,-3.623,0.223,-3.678,-1.965,2.181,5.121,2.621,1.589,-4.334,-5.318,2.658,7.161,-1.888,0.041,16.699,12.896,7.68,12.979,13.028,20.526,24.738,22.671,20.146,0.3,7.541,9.889,5.88,0.398,-4.413,-16.442,-16.542,-13.187,-9.615,-10.11,-10.804,-16.615,-14.053,-13.549,-12.673,-12.177,Africa
GDP,1223.555,1246.691,1289.604,1360.769,1455.972,1379.59,1407.95,1464.258,1566.377,1584.998,1546.309,1739.588,1924.382,2122.395,2325.781,2544.307,2797.355,2963.679,3046.246,3065.676,3135.865,3242.162,3634.494,3701.619,4094.784,4715.431,5261.302,5980.157,6579.806,6492.129,6686.332,6857.285,7623.612,7948.018,8507.964,7668.513,7449.176,7681.958,7539.905,7383.921,6978.425,7148.457,7274.497,7473.202,7673.14,7815.141,Africa
Implied PPP conversion rate,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.024,0.046,0.064,0.412,2.088,4.216,10.078,19.187,24.932,34.425,39.133,39.751,46.546,38.451,50.053,64.606,65.682,66.019,65.001,68.182,80.779,92.952,121.419,146.641,164.018,198.482,223.226,238.043,248.611,257.096,Africa
Total investment,15.938,17.288,19.613,16.279,16.234,12.426,12.475,12.37,9.638,9.588,5.725,12.492,21.071,21.619,21.016,22.826,28.368,20.822,28.778,22.568,30.493,30.493,30.493,30.451,30.894,27.557,23.301,25.731,30.804,42.821,28.197,26.424,26.668,26.143,27.5,34.202,27.215,24.13,20.467,19.786,21.527,21.091,21.303,21.415,21.622,21.906,Africa
Gross national savings,17.704,15.105,12.419,11.463,14.437,11.788,5.41,14.15,2.68,9.089,32.396,37.694,42.412,45.441,47.822,52.231,75.766,39.511,35.624,36.319,37.618,17.401,27.422,26.017,33.543,41.158,43.429,39.743,37.691,26.329,34.833,37.876,37.228,32.007,29.807,28.491,24.487,23.351,27.457,25.525,20.224,21.205,22.168,22.284,22.682,22.965,Africa
"Inflation, average consumer prices",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,352.664,426.808,514.862,586.998,639.228,683.34,724.34,Africa
"Inflation, average consumer prices",46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,1379.476,949.771,2672.23,4146.01,221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.079,21.024,20.631,14.011,8.898,6.901,6,Africa
"Inflation, end of period consumer prices",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.003,0.048,0.119,0.278,1.195,4.401,9.508,19.548,34.514,45.217,53.596,60.139,67.221,76.074,86.714,100,111.376,121.447,130.782,140.588,157.587,222.395,275.028,326.194,381.299,465.972,557.253,612.978,662.016,701.737,743.841,Africa
"Inflation, end of period consumer prices",,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,175.72,495.793,1837.874,971.954,3783.921,1650.825,149.621,134.809,329.001,268.35,116.068,105.59,76.56,31.013,18.53,12.207,11.776,13.17,13.987,15.322,11.376,9.042,7.687,7.498,12.091,41.125,23.667,18.604,16.893,22.206,19.589,10,8,6,6,Africa
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Volume of imports of goods and services,-39,17.3,1.7,-2.7,2.2,-9.4,-6.5,-1.5,26.9,-22,-15.8,-3.886,21.141,-19.125,-26.769,27.968,27.764,8.432,-5.44,26.806,3.965,13.854,-6.072,13.358,9.402,36.968,1.2,48.885,46.949,6.069,-21.428,10.661,7.065,8.614,10.721,-19.85,-25.605,-0.837,-11.139,-11.289,-23.763,13.388,-2.499,6.5,4.849,3.807,Africa
Volume of Imports of goods,-5,-3.3,-21.5,-17.4,30.4,-14.5,-25.7,16.8,2.1,-5.6,12.9,-14.257,42.589,-23.32,-19.574,15.717,11.645,39.356,-15.434,56.08,1.023,2.037,5.055,32.941,-3.648,37.766,-1.131,43.492,37.676,18.089,-31.754,8.373,20.222,12.418,10.366,-18.175,-32.586,2.78,5.943,-7.894,-24.436,8.272,-4.79,4.072,3.623,3.993,Africa
Volume of exports of goods and services,-3,8,-12.9,4.6,12.5,-5.9,-33.8,54.3,7,2.7,14.6,0.186,8.359,-8.275,8.236,12.24,10.698,6.02,2.536,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.64,-3.266,-5.404,3.838,0.064,-2.115,6.721,-0.587,-4.755,0.107,0.227,1.212,-0.296,0.873,0.254,1.72,4.46,Africa
Volume of exports of goods,,,,,,,,,,,,,,,,,,,2.536,1.426,1.624,-2.578,23.562,-1.578,13.226,30.262,9.97,22.12,10.307,-3.61,-3.425,-4.837,3.829,-0.752,-2.985,5.75,0.571,-5.061,1.403,0.496,0.638,0.187,0.882,0.264,1.7,4.308,Africa
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
Population,8.91,9.151,9.393,9.639,9.894,11.149,11.467,11.76,12.079,12.41,12.742,13.124,13.518,13.923,14.341,14.771,15.214,15.671,16.141,16.625,17.124,17.637,18.166,18.711,19.273,19.851,20.446,21.06,21.692,22.342,23.013,23.703,24.414,25.147,25.901,26.681,27.503,28.377,29.25,30.128,31.031,31.962,32.921,33.909,34.926,35.974,Africa
General government revenue,,,,,,,,,,,,,,,,,0.4,0.747,0.864,8.638,48.051,90.32,190.836,394.898,609.686,1085.844,1685.031,2124.712,3217.433,2069.733,3295.49,4776.149,5053.803,4848.609,4402.641,3366.744,2899.97,3546.27,5859.955,6529.102,6366.629,8924.466,10825.22,12130.227,13046.83,13766.032,Africa
General government revenue,,,,,,,,,,,,,,,,,39.104,34.882,27.629,41.128,42.858,37.463,28.681,29.715,30.987,33.697,40.027,42.44,48.431,37.11,42.789,45.483,41.34,36.746,30.736,24.134,17.523,17.502,21.883,20.015,17.925,19.679,20.25,20.109,19.582,19.045,Africa
General government total expenditure,,,,,,,,,,,,,,,,,0.339,0.754,1.073,10.873,45.484,82.661,207.753,457.154,586.399,854.785,1288.353,1908.842,3498.789,2510.197,3034.026,3927.547,4548.766,4888.694,5222.016,3773.708,3648.044,4823.567,5273.865,6270.786,7363.802,8982.755,10301.41,11131.454,11867.744,12409.596,Africa
General government total expenditure,,,,,,,,,,,,,,,,,33.197,35.186,34.339,51.772,40.568,34.287,31.223,34.4,29.803,26.527,30.604,38.129,52.666,45.007,39.394,37.402,37.209,37.05,36.457,27.051,22.043,23.806,19.695,19.223,20.733,19.808,19.27,18.453,17.813,17.169,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,0.06,-0.007,-0.21,-2.236,2.567,7.658,-16.917,-62.256,23.287,231.059,396.677,215.87,-281.356,-440.464,261.463,848.602,505.037,-40.085,-819.375,-406.964,-748.074,-1277.297,586.09,258.316,-997.172,-58.289,523.81,998.772,1179.086,1356.436,Africa
General government net lending/borrowing,,,,,,,,,,,,,,,,,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.304,2.189,0.792,-2.808,-0.129,0.98,1.656,1.77,1.877,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,69.49,93.01,-132.355,-140.822,-21.518,73.054,164.905,-4.26,-222.016,-249.823,184.162,297.145,-33.564,-276.068,-775.061,128.144,-285.206,-800.958,872.68,365.929,-548.1,-89.756,239.692,645.954,765.051,1031.518,Africa
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,-74.956,-14.548,-1.22,2.838,4.839,-0.099,-4.251,-3.99,2.474,3.372,-0.323,-2.247,-5.334,0.744,-1.395,-3.302,3.044,1.088,-1.4,-0.199,0.466,1.112,1.178,1.434,Africa
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,0.153,0.117,0.007,-0.684,7.54,17.478,-1.385,-43.252,61.076,279.643,450.016,269.528,-158.7,-337.328,350.999,943.251,610.322,59.02,-669.879,-158.494,-277.674,-599.942,1799.999,1961.72,1402.994,2732.879,3550.236,3993.503,4125.574,4195.818,Africa
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,15.015,5.448,0.227,-3.257,6.725,7.25,-0.208,-3.255,3.104,8.678,10.69,5.384,-2.389,-6.048,4.557,8.983,4.992,0.447,-4.677,-1.136,-1.678,-2.961,6.722,6.014,3.95,6.026,6.641,6.62,6.192,5.805,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,150.141,273.646,490.63,770.358,938.867,1078.329,788.437,1053.508,2084.567,3140.168,2862.152,3103.838,3262.908,4374.025,5702.308,7964.643,12521.838,14034.657,23832.49,35626.289,42724.72,48762.195,50129.625,50484.647,49518.863,48598.99,Africa
General government gross debt,,,,,,,,,,,,,,,,,,,,,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.81,57.093,75.663,69.265,89,109.21,120.29,107.526,93.772,83.692,74.324,67.237,Africa
Current account balance,0.07,-0.183,-0.494,-0.359,-0.171,0.195,-0.303,0.447,-0.469,-0.132,-0.236,-0.58,-0.735,-0.669,-0.34,-0.295,3.266,-0.884,-1.867,-1.71,0.796,-1.431,-0.15,-0.72,0.681,5.138,10.69,10.581,7.194,-7.572,7.506,13.085,13.853,8.348,-3.748,-10.273,-4.848,-0.633,7.403,5.132,-0.817,0.077,0.626,0.683,0.902,0.968,Africa
Current account balance,1.051,-2.947,-7.958,-5.549,-2.488,2.306,-3.827,4.939,-4.777,-1.156,-1.873,-4.756,-7.821,-9.804,-6.843,-4.761,40.863,-9.412,-23.462,-22.728,7.125,-13.092,-0.982,-4.04,2.892,13.897,20.408,16.212,8.126,-10.769,8.957,11.705,10.818,6.107,-2.572,-8.841,-4.794,-0.518,6.99,5.739,-1.303,0.114,0.865,0.869,1.059,1.059,Africa
GDP,4001.414,4583,4918.495,5463.894,6338.636,7158.76,8285.808,9213.236,10187.195,11245.327,12029.366,12603.916,12830.391,13522.198,14360.612,13653.462,14421.71,15047.396,15512.78,15926.446,17012.499,16247.277,16495.36,17629.285,18938.071,20558.32,23621.581,26219.24,26435.89,23162.379,21426.245,21223.826,20392.925,19498.874,19674.14,19456.146,20388.518,20190.631,21777.631,22567.841,18655.044,19674.589,21920.411,23819.503,24901.646,25973.234,America
Implied PPP conversion rate,1.296,1.283,1.344,1.36,1.363,1.42,1.505,1.599,1.735,1.746,1.711,1.698,1.701,1.692,1.71,1.716,1.735,1.737,1.754,1.755,1.743,1.731,1.716,1.668,1.651,1.673,1.63,1.647,1.686,1.703,1.709,1.691,1.829,1.854,1.915,2.04,2.06,2.094,2.09,2.057,2.049,2.024,2.016,2.013,2.012,2.013,America
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.522,4.858,12.177,23.084,36.685,33.239,27.397,35.277,36.657,34.321,33.049,31.252,America
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.789,7.052,9.749,15.25,23.003,26.732,5.362,10.572,18.871,21.685,22.434,22.9,America
"Inflation, average consumer prices",35.001,39.014,40.64,41.594,43.193,43.623,43.841,45.42,48.509,50.625,53.961,56.4,58.091,59.892,63.777,65.522,67.465,67.709,69.918,70.711,70.597,71.963,73.696,75.165,76.691,78.3,79.7,80.829,85.14,84.672,87.525,90.551,93.608,94.6,95.631,96.557,96.085,98.422,99.614,101.083,102.085,103.056,104.508,106.235,108.25,110.415,America
"Inflation, average consumer prices",18.999,11.465,4.17,2.346,3.844,0.996,0.5,3.602,6.8,4.362,6.591,4.518,3,3.1,6.485,2.737,2.965,0.362,3.262,1.135,-0.162,1.935,2.408,1.994,2.03,2.099,1.788,1.416,5.334,-0.55,3.37,3.457,3.377,1.059,1.089,0.969,-0.489,2.432,1.211,1.475,0.991,0.951,1.409,1.653,1.897,2,America
"Inflation, end of period consumer prices",42.273,45.299,46.485,47.932,49.475,49.119,50.085,53.001,55.925,58.654,63.265,65.293,67.162,66.796,66.878,66.032,68.136,67.371,70.51,71.284,71.592,72.261,74.104,75.445,77.524,79.495,79.502,83.661,84.27,86.292,88.816,92.408,94.107,95.103,96.365,97.233,96.143,98.408,100.12,101.64,102.364,103.672,105.248,107.105,109.255,111.441,America
"Inflation, end of period consumer prices",17.71,7.16,2.617,3.114,3.219,-0.721,1.967,5.822,5.518,4.88,7.861,3.206,2.862,-0.545,0.123,-1.265,3.187,-1.124,4.66,1.098,0.432,0.935,2.55,1.809,2.756,2.543,0.009,5.23,0.728,2.399,2.925,4.044,1.839,1.059,1.327,0.9,-1.121,2.356,1.739,1.518,0.712,1.277,1.52,1.764,2.008,2,America
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Volume of imports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.188,8.818,1.502,8.601,-1.191,-39.681,13.191,30.892,18.429,6.857,6.691,America
Volume of Imports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.817,4.462,7.576,16.146,-5.149,-29.627,14.462,21.456,9.937,2.329,2.039,America
Volume of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.127,1.91,-6.463,1.573,8.048,-58.966,12.248,64.309,32.621,9.901,9.909,America
Volume of exports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.565,-23.743,-28.66,-3.165,8.555,-34.902,7.026,29.016,18.861,7.872,8.048,America
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Population,0.068,0.068,0.067,0.066,0.065,0.064,0.063,0.062,0.061,0.06,0.06,0.061,0.062,0.063,0.065,0.067,0.068,0.07,0.072,0.074,0.076,0.077,0.078,0.079,0.079,0.08,0.081,0.082,0.083,0.084,0.085,0.086,0.087,0.088,0.09,0.091,0.092,0.094,0.095,0.097,0.098,0.1,0.101,0.102,0.104,0.105,America
General government revenue,,,,,,,,,,,0.236,0.229,0.253,0.259,0.284,0.284,0.329,0.332,0.406,0.389,0.404,0.37,0.424,0.433,0.5,0.533,0.683,0.757,0.778,0.609,0.691,0.625,0.647,0.604,0.68,0.87,0.951,0.822,0.859,0.849,0.67,0.88,1.04,1.182,1.249,1.319,America
General government revenue,,,,,,,,,,,19.016,17.642,18.801,17.949,17.838,18.243,19.246,18.081,20.66,18.785,18.005,17.109,19.294,18.757,20.122,19.3,21.863,21.368,21.05,18.434,22.287,20.364,19.968,18.927,20.14,24.104,24.512,20.737,19.822,18.923,17.867,22.199,23.296,24.069,24.013,23.986,America
General government total expenditure,,,,,,,,,,,0.234,0.283,0.265,0.297,0.357,0.349,0.359,0.332,0.441,0.458,0.513,0.573,0.638,0.621,0.608,0.665,0.916,0.957,0.976,1.201,0.7,0.733,0.683,0.741,0.776,0.964,0.956,0.935,0.996,1.031,1.127,1.086,1.115,1.139,1.197,1.25,America
General government total expenditure,,,,,,,,,,,18.887,21.736,19.655,20.533,22.432,22.395,20.973,18.081,22.418,22.14,22.892,26.51,29.029,26.87,24.476,24.105,29.327,27.015,26.418,36.33,22.563,23.861,21.077,23.223,23.01,26.704,24.658,23.577,22.985,22.967,30.054,27.389,24.988,23.209,23.01,22.734,America
General government net lending/borrowing,,,,,,,,,,,0.002,-0.053,-0.012,-0.037,-0.073,-0.065,-0.03,0,-0.035,-0.069,-0.11,-0.203,-0.214,-0.187,-0.108,-0.133,-0.233,-0.2,-0.198,-0.592,-0.009,-0.107,-0.036,-0.137,-0.097,-0.094,-0.006,-0.113,-0.137,-0.181,-0.457,-0.206,-0.076,0.042,0.052,0.069,America
General government net lending/borrowing,,,,,,,,,,,0.128,-4.094,-0.854,-2.585,-4.595,-4.152,-1.727,0,-1.758,-3.355,-4.887,-9.401,-9.734,-8.113,-4.354,-4.806,-7.464,-5.647,-5.368,-17.895,-0.277,-3.497,-1.108,-4.296,-2.87,-2.6,-0.145,-2.841,-3.162,-4.044,-12.187,-5.19,-1.692,0.861,1.003,1.252,America
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government primary net lending/borrowing,,,,,,,,,,,0.047,-0.02,0.025,0.004,-0.028,-0.022,0.021,0.032,0.017,-0.023,0.001,-0.128,-0.128,-0.076,-0.001,-0.036,-0.118,-0.089,-0.096,-0.357,0.056,-0.044,0.039,-0.054,-0.006,-0.003,0.093,-0.005,-0.028,-0.056,-0.35,-0.082,0.068,0.194,0.202,0.22,America
General government primary net lending/borrowing,,,,,,,,,,,3.807,-1.514,1.876,0.264,-1.732,-1.398,1.216,1.728,0.873,-1.106,0.024,-5.93,-5.816,-3.279,-0.048,-1.295,-3.766,-2.514,-2.598,-10.814,1.806,-1.438,1.199,-1.678,-0.179,-0.087,2.395,-0.138,-0.651,-1.246,-9.321,-2.068,1.533,3.946,3.886,3.999,America
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government gross debt,,,,,,,,,,,1.217,1.289,1.287,1.303,1.427,1.533,1.569,1.599,2.016,2.164,2.346,2.549,2.777,2.892,2.983,2.558,2.785,2.757,2.811,3.337,2.783,2.82,2.835,3.056,3.529,3.62,3.399,3.659,3.932,3.79,4.263,4.465,4.552,4.52,4.478,4.418,America
General government gross debt,,,,,,,,,,,98.071,99.075,95.479,90.147,89.655,98.323,91.673,87.022,102.609,104.603,104.653,117.914,126.264,125.187,120.147,92.684,89.151,77.864,76.081,100.967,89.742,91.803,87.494,95.791,104.575,100.293,87.628,92.322,90.718,84.468,113.687,112.659,102.007,92.089,86.103,80.34,America
Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.029,-0.035,-0.115,-0.22,-0.108,-0.306,-0.363,-0.294,-0.23,-0.204,-0.17,America
Current account balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,2.194,-2.428,-7.834,-13.682,-6.507,-22.035,-24.705,-17.786,-12.636,-10.615,-8.352,America
GDP,6179.32,6263.393,6334.132,6732.522,6995.775,6602.519,7125.168,7401.751,7422.124,7084.882,7102.359,8005.126,8909.231,9548.299,10189.821,9983.668,10601.39,11525.04,11968.699,11603.762,11646.257,11262.946,10097.011,11100.751,12299.708,13674.482,15074.207,16708.085,17550.544,16476.516,18061.925,19322.227,19641.353,20131.68,19683.772,20105.199,20307.87,23597.118,23305.845,22997,20369.636,21621.36,22338.439,23032.212,23732.462,24365.446,America
Implied PPP conversion rate,--,--,--,--,--,--,--,--,0.001,0.016,0.334,0.766,0.851,0.817,0.822,0.831,0.816,0.798,0.776,0.751,0.742,0.718,0.923,1,1.032,1.104,1.219,1.364,1.648,1.887,2.256,2.733,3.218,3.941,5.452,6.867,9.295,10.257,14.024,20.753,29.17,41.939,58,73.485,87.997,100.961,America
Total investment,20.346,18.197,17.618,16.797,15.94,13.95,13.977,15.698,15.063,12.465,11.354,11.895,13.431,17.301,17.509,16.399,17.403,18.415,18.551,15.557,15.337,13.64,9.965,12.877,17.551,18.888,18.68,20.099,19.573,16.053,17.706,18.398,16.502,17.306,17.263,17.071,17.663,18.213,19.709,17.395,17.319,18.502,18.743,18.878,19.034,19.324,America
Gross national savings,20.748,18.216,17.345,16.96,16.305,17.241,16.215,14.533,15.567,15.071,15.472,12.889,12.41,13.999,13.989,17.662,15.051,14.662,14.17,11.742,12.459,12.325,17.631,18.474,19.35,21.362,21.471,22.199,21.065,18.22,17.323,17.386,16.133,15.159,15.634,14.328,14.95,13.379,14.484,16.496,17.996,19.731,19.825,19.736,19.694,19.986,America
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,26.468,26.713,26.401,26.153,25.875,32.568,36.946,38.577,42.297,46.907,51.049,55.431,58.907,65.069,71.43,78.603,86.95,,,168.27,211.473,283.959,436.015,,,,,,,America
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,0.925,-1.167,-0.939,-1.065,25.869,13.443,4.416,9.642,10.898,8.83,8.585,6.27,10.461,9.775,10.043,10.619,,,,25.675,34.277,53.548,,,,,,,America
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,26.464,26.64,26.158,25.966,25.565,36.035,37.352,39.631,44.516,48.897,53.038,56.876,61.253,67.944,74.404,82.471,91.498,113.38,,187.331,233.781,345.167,530.979,,,,,,,America
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,0.664,-1.81,-0.734,-1.544,40.953,3.656,6.101,12.327,9.841,8.468,7.238,7.695,10.923,9.508,10.842,10.946,23.915,,,24.796,47.646,53.832,,,,,,,America
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Volume of imports of goods and services,41.493,-8.239,-42.58,-6.924,4.705,-13.038,18.523,11.422,-9.204,-16.419,-0.69,75.576,66.462,13.423,26.7,-11.484,19.483,30.046,9.881,-15.955,-2.407,-16.629,-53.553,48.933,51.165,18.375,12.966,22.202,14.597,-23.858,39.414,21.578,-5.952,3.548,-10.842,2.644,3.568,14.235,-5.591,-21.107,-12.447,23.968,5.43,5.45,4.207,4.068,America
Volume of Imports of goods,67.807,-20.509,-24.66,-28.526,14.23,-19.005,17.526,13.253,-15.31,1.044,-24.706,104.504,76.694,13.423,26.7,-11.484,19.483,29.918,9.512,-15.919,-2.423,-17.167,-53.202,49.778,50.389,18.463,12.825,22.306,14.166,-23.579,39.714,21.38,-6.194,3.682,-11.226,3.176,3.37,14.566,-6.317,-20.846,-12.364,24.446,5.534,5.377,4.238,3.983,America
Volume of exports of goods and services,43.237,5.204,3.947,2.582,-2.591,15.554,-9.975,-3.519,18.728,7.472,16.833,-5.105,2.105,2.385,17.375,25.559,6.395,15.133,12.705,-2.148,1.867,6.132,0.238,5.016,0.003,11.55,4.559,5.96,-0.951,-10.783,13.702,2.292,-5.837,-3.688,-7.786,-1.633,6.807,-0.132,-0.264,12.155,-11.766,7.401,4.771,5.06,5.012,4.293,America
Volume of exports of goods,33.17,7.866,6.747,5.649,8.069,2.649,-12.726,-9.557,20.386,34.631,4.835,-0.251,5.175,2.385,17.375,25.559,6.395,15.102,12.768,-2.228,1.897,6.236,0.035,5.168,-0.078,11.555,4.501,6.026,-1.03,-10.748,14.073,2.125,-6.01,-3.472,-7.735,-1.626,6.545,-0.097,-0.524,12.402,-11.85,7.635,4.802,5.049,5.003,4.298,America
Unemployment rate,3,5,4.5,5,5,6.25,6.3,6,6.5,8,7.6,6.48,7.112,11.606,13.348,18.904,18.76,16.808,14.789,16.061,17.134,19.209,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.075,7.25,6.533,8.467,8.35,9.2,9.825,10.981,10.11,9.69,9.369,9.19,9.15,America
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Population,27.95,28.45,28.93,29.34,29.84,30.35,30.74,31.09,31.47,31.86,32.53,32.97,33.42,33.917,34.353,34.779,35.196,35.604,36.005,36.399,36.784,37.156,37.516,37.87,38.226,38.592,38.971,39.356,39.746,40.134,40.788,41.261,41.733,42.203,42.67,43.132,43.59,44.045,44.495,44.939,45.388,45.842,46.3,46.763,47.231,47.703,America
General government revenue,,,,,,,,,,,,,,58.155,62.425,59.972,60.48,67.937,71.204,68.998,69.368,63.294,69.698,98.878,130.964,161.749,202.363,271.853,357.705,408.003,531.163,700.692,891.704,1150.114,1584.387,2105.859,2868.941,3670.115,4940.7,7261.83,8907.085,,,,,,America
General government revenue,,,,,,,,,,,,,,21.993,21.688,20.788,19.876,20.748,21.303,21.766,21.83,21.068,19.943,23.526,26.996,27.766,28.267,30.308,31.114,32.694,31.965,32.156,33.803,34.349,34.601,35.366,34.867,34.428,33.974,33.859,33.027,,,,,,America
